#options: 1920x1200 fps=20/1 timebase=1/20 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=20 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2543 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:26.94 aq:13.74 tex:522475 mv:50351 misc:254 imb:9000 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:26.94 aq:19.07 tex:294663 mv:4491 misc:2734 imb:1156 pmb:1091 smb:6753 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:26.94 aq:15.65 tex:312227 mv:6601 misc:2564 imb:2216 pmb:1112 smb:5672 d:- ref:0 ;
in:6 out:3 type:P dur:2 cpbdur:2 q:26.94 aq:16.85 tex:219988 mv:7583 misc:2853 imb:2128 pmb:1268 smb:5604 d:- ref:0 ;
in:4 out:4 type:B dur:2 cpbdur:2 q:26.94 aq:21.68 tex:99 mv:339 misc:522 imb:46 pmb:3 smb:8951 d:- ref:0 ;
in:3 out:5 type:b dur:2 cpbdur:2 q:26.94 aq:29.63 tex:354 mv:37 misc:473 imb:1 pmb:7 smb:8992 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:26.94 aq:29.64 tex:342 mv:28 misc:446 imb:2 pmb:2 smb:8996 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:26.94 aq:17.93 tex:12448 mv:1105 misc:1839 imb:188 pmb:205 smb:8607 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:26.94 aq:26.39 tex:127 mv:671 misc:562 imb:106 pmb:1 smb:8893 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:26.94 aq:29.34 tex:372 mv:93 misc:495 imb:10 pmb:3 smb:8987 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:26.94 aq:29.34 tex:373 mv:87 misc:484 imb:10 pmb:2 smb:8988 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:26.94 aq:18.97 tex:3891 mv:664 misc:1061 imb:131 pmb:72 smb:8797 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:26.94 aq:26.44 tex:147 mv:651 misc:554 imb:104 pmb:1 smb:8895 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:26.94 aq:29.34 tex:373 mv:87 misc:484 imb:10 pmb:2 smb:8988 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:26.94 aq:29.34 tex:373 mv:87 misc:484 imb:10 pmb:2 smb:8988 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:26.94 aq:13.12 tex:1554 mv:509 misc:753 imb:108 pmb:30 smb:8862 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:26.94 aq:26.15 tex:122 mv:612 misc:514 imb:97 pmb:1 smb:8902 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:26.94 aq:29.93 tex:359 mv:35 misc:454 imb:3 pmb:2 smb:8995 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:26.94 aq:29.93 tex:359 mv:35 misc:454 imb:3 pmb:2 smb:8995 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:34.94 aq:25.40 tex:70 mv:22 misc:476 imb:2 pmb:1 smb:8997 d:- ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:30.94 aq:29.32 tex:23 mv:11 misc:446 imb:1 pmb:0 smb:8999 d:- ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:28.94 aq:32.20 tex:326 mv:18 misc:440 imb:1 pmb:2 smb:8997 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:32.94 aq:36.03 tex:244 mv:9 misc:427 imb:0 pmb:2 smb:8998 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:32.85 aq:23.48 tex:80 mv:45 misc:507 imb:5 pmb:1 smb:8994 d:- ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:33.90 aq:30.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:9000 d:- ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:34.42 aq:38.03 tex:220 mv:9 misc:427 imb:0 pmb:2 smb:8998 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:33.37 aq:37.03 tex:236 mv:9 misc:427 imb:0 pmb:2 smb:8998 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:28.85 aq:17.45 tex:423 mv:386 misc:583 imb:100 pmb:6 smb:8894 d:- ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:30.85 aq:29.32 tex:25 mv:22 misc:449 imb:2 pmb:0 smb:8998 d:- ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:31.85 aq:35.03 tex:268 mv:9 misc:427 imb:0 pmb:2 smb:8998 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:29.85 aq:33.03 tex:296 mv:19 misc:437 imb:1 pmb:2 smb:8997 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:24.85 aq:15.14 tex:99065 mv:4462 misc:3329 imb:1126 pmb:1023 smb:6851 d:- ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:26.85 aq:25.48 tex:39 mv:20 misc:453 imb:2 pmb:0 smb:8998 d:- ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:27.85 aq:31.20 tex:345 mv:28 misc:443 imb:2 pmb:2 smb:8996 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:25.85 aq:29.25 tex:374 mv:27 misc:447 imb:2 pmb:2 smb:8996 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:21.80 aq:12.07 tex:201300 mv:6718 misc:3174 imb:1962 pmb:1300 smb:5738 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:23.32 aq:20.00 tex:4 mv:31 misc:485 imb:0 pmb:6 smb:8994 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:24.08 aq:25.77 tex:366 mv:31 misc:459 imb:2 pmb:3 smb:8995 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:22.56 aq:25.34 tex:398 mv:22 misc:452 imb:1 pmb:3 smb:8996 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:19.22 aq:11.52 tex:166702 mv:4686 misc:3180 imb:909 pmb:1195 smb:6896 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:20.51 aq:9.05 tex:66 mv:36 misc:514 imb:0 pmb:9 smb:8991 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:21.15 aq:25.03 tex:394 mv:17 misc:445 imb:0 pmb:4 smb:8996 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:19.86 aq:23.03 tex:427 mv:12 misc:449 imb:0 pmb:3 smb:8997 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:17.05 aq:9.96 tex:146233 mv:6221 misc:3466 imb:1500 pmb:1298 smb:6202 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:18.13 aq:19.48 tex:69 mv:67 misc:544 imb:0 pmb:23 smb:8977 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:18.68 aq:21.27 tex:816 mv:40 misc:488 imb:0 pmb:18 smb:8982 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:17.59 aq:20.78 tex:753 mv:30 misc:473 imb:0 pmb:16 smb:8984 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:15.10 aq:9.05 tex:162791 mv:4005 misc:3492 imb:822 pmb:1206 smb:6972 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:16.08 aq:10.29 tex:1156 mv:402 misc:626 imb:6 pmb:71 smb:8923 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:16.56 aq:15.03 tex:36 mv:61 misc:495 imb:0 pmb:18 smb:8982 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:15.59 aq:14.00 tex:12 mv:58 misc:498 imb:0 pmb:18 smb:8982 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:13.97 aq:7.86 tex:74369 mv:2155 misc:3124 imb:369 pmb:780 smb:7851 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:14.54 aq:6.66 tex:211 mv:61 misc:568 imb:0 pmb:27 smb:8973 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:14.82 aq:9.90 tex:617 mv:16 misc:479 imb:0 pmb:6 smb:8994 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:14.26 aq:9.85 tex:652 mv:12 misc:472 imb:0 pmb:7 smb:8993 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:13.33 aq:7.48 tex:47372 mv:1054 misc:2534 imb:162 pmb:648 smb:8190 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:13.65 aq:6.23 tex:211 mv:651 misc:578 imb:93 pmb:11 smb:8896 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:13.81 aq:5.92 tex:604 mv:7 misc:453 imb:0 pmb:3 smb:8997 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:13.49 aq:5.92 tex:640 mv:105 misc:503 imb:0 pmb:97 smb:8903 d:- ref:0 ;
in:62 out:59 type:P dur:2 cpbdur:2 q:12.45 aq:7.13 tex:53345 mv:1250 misc:2757 imb:198 pmb:556 smb:8246 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:12.89 aq:10.06 tex:353 mv:136 misc:679 imb:0 pmb:128 smb:8872 d:- ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:13.11 aq:10.62 tex:670 mv:88 misc:522 imb:0 pmb:99 smb:8901 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:12.67 aq:10.21 tex:644 mv:14 misc:462 imb:0 pmb:4 smb:8996 d:- ref:0 ;
in:66 out:63 type:P dur:2 cpbdur:2 q:11.51 aq:6.75 tex:55883 mv:2307 misc:2746 imb:480 pmb:475 smb:8045 d:- ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:11.98 aq:9.34 tex:369 mv:353 misc:790 imb:18 pmb:73 smb:8909 d:- ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:12.22 aq:5.07 tex:3870 mv:164 misc:502 imb:6 pmb:34 smb:8960 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:11.74 aq:6.68 tex:1827 mv:204 misc:521 imb:5 pmb:38 smb:8957 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:10.68 aq:6.36 tex:34676 mv:1099 misc:2009 imb:137 pmb:351 smb:8512 d:- ref:0 ;
